"","x"
"1",7.63765848448046
"2",9.69638142657081
"3",9.8794113858878
"4",9.8794113858878
"5",9.92374572751395
"6",10.655332966472
"7",10.903277113665
"8",8.91278358612066
"9",8.3692902607619
"10",8.65800665312363
"11",10.3920496537668
"12",10.5733267966736
"13",10.3920496537668
"14",10.655332966472
"15",10.5733267966736
"16",8.24106668306768
"17",10.3920496537668
"18",11.4575274299383
"19",9.74361229530237
"20",9.74361229530237
"21",11.2044818396598
"22",10.903277113665
"23",8.24106668306768
"24",11.2044818396598
"25",10.3920496537668
"26",9.77930773092917
"27",9.49454551728046
"28",9.29957331287295
"29",10.7009063081592
"30",8.24106668306768
"31",9.99109743027858
"32",9.18271988508539
"33",10.1694602884305
"34",10.3920496537668
"35",10.903277113665
"36",12.7620623189065
"37",7.63765848448046
"38",9.40612816858944
"39",9.45892283745255
"40",7.63765848448046
"41",9.49454551728046
"42",8.3692902607619
"43",8.65800665312363
"44",9.99109743027858
"45",8.03177472955787
"46",10.903277113665
"47",9.69638142657081
"48",9.69638142657081
"49",7.98530418961892
"50",11.4575274299383
