"","x"
"1",9.78268091812103
"2",12.3771926915619
"3",10.4439585990593
"4",11.9902385405349
"5",12.0754418056707
"6",8.95567039377612
"7",10.2385370322105
"8",8.95567039377612
"9",8.66420090045491
"10",11.7868441709744
"11",11.5550949840064
"12",14.8801928907624
"13",10.8616502223909
"14",9.78268091812103
"15",11.9902385405349
"16",12.5876001321312
"17",11.0889634036522
"18",14.9446992072614
"19",12.0754418056707
"20",12.2609619189762
"21",10.304771762868
"22",10.5633458356039
"23",10.4439585990593
"24",11.5550949840064
"25",11.1473384372016
"26",11.6057405201997
"27",10.4439585990593
"28",12.0977018364154
"29",10.5633458356039
"30",11.5550949840064
"31",11.6151508025537
"32",10.4021516414302
"33",12.3771926915619
"34",11.7547916456172
"35",11.6151508025537
"36",12.5876001321312
"37",12.0754418056707
"38",12.0977018364154
"39",15.7723534044236
"40",11.2287494138531
"41",9.78268091812103
"42",10.5633458356039
"43",10.4021516414302
"44",15.7723534044236
"45",11.9902385405349
"46",10.0123483315677
"47",11.2287494138531
"48",13.8883155364247
"49",10.0942476402215
"50",10.4651008086906
